_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,sentiment,sentiment:confidence,date,id,query,sentiment_gold,text,tokens,stemmed_tokens,lemmatized_tokens
623495513,True,golden,10,,3,0.6264,Mon Dec 01 19:30:03 +0000 2014,5.4e+17,#AAPL OR @Apple,"3
not_relevant",#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx,"['aapl', '10', 'best', 'steve', 'jobs', 'emails', 'ever']","['aapl', '10', 'best', 'steve', 'job', 'email', 'ever']","['aapl', '10', 'best', 'steve', 'job', 'email', 'ever']"
623495514,True,golden,12,,3,0.8129,Mon Dec 01 19:43:51 +0000 2014,5.4e+17,#AAPL OR @Apple,"3
1","RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9","['rt', 'jpdesloges', 'aapl', 'stock', 'mini', 'flash', 'crash', 'today', 'aapl', 'aapl']","['rt', 'jpdeslog', 'aapl', 'stock', 'mini', 'flash', 'crash', 'today', 'aapl', 'aapl']","['rt', 'jpdesloges', 'aapl', 'stock', 'mini', 'flash', 'crash', 'today', 'aapl', 'aapl']"
623495515,True,golden,10,,3,1.0,Mon Dec 01 19:50:28 +0000 2014,5.4e+17,#AAPL OR @Apple,3,My cat only chews @apple cords. Such an #AppleSnob.,"['cat', 'chews', 'apple', 'cords', 'applesnob']","['cat', 'chew', 'appl', 'cord', 'applesnob']","['cat', 'chew', 'apple', 'cord', 'applesnob']"
623495516,True,golden,17,,3,0.5848,Mon Dec 01 20:26:34 +0000 2014,5.4e+17,#AAPL OR @Apple,"3
1","I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see","['agree', 'jimcramer', 'individualinvestor', 'trade', 'apple', 'aapl', 'extended', 'today', 'pullback', 'good', 'see']","['agre', 'jimcram', 'individualinvestor', 'trade', 'appl', 'aapl', 'extend', 'today', 'pullback', 'good', 'see']","['agree', 'jimcramer', 'individualinvestor', 'trade', 'apple', 'aapl', 'extended', 'today', 'pullback', 'good', 'see']"
623495517,False,finalized,3,12/12/2014 12:14,3,0.6474,Mon Dec 01 20:29:33 +0000 2014,5.4e+17,#AAPL OR @Apple,,Nobody expects the Spanish Inquisition #AAPL,"['nobody', 'expects', 'spanish', 'inquisition', 'aapl']","['nobodi', 'expect', 'spanish', 'inquisit', 'aapl']","['nobody', 'expects', 'spanish', 'inquisition', 'aapl']"
623495518,True,golden,13,,3,0.5975,Mon Dec 01 20:30:03 +0000 2014,5.4e+17,#AAPL OR @Apple,5,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS,"['aapl', '5', 'rocket', 'stocks', 'buy', 'december', 'gains', 'apple']","['aapl', '5', 'rocket', 'stock', 'buy', 'decemb', 'gain', 'appl']","['aapl', '5', 'rocket', 'stock', 'buy', 'december', 'gain', 'apple']"
623495519,True,golden,13,,5,0.8468,Mon Dec 01 20:32:45 +0000 2014,5.4e+17,#AAPL OR @Apple,5,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB,"['top', '3', 'apple', 'tablets', 'damn', 'right']","['top', '3', 'appl', 'tablet', 'damn', 'right']","['top', '3', 'apple', 'tablet', 'damn', 'right']"
623495520,True,golden,9,,5,0.6736,Mon Dec 01 20:34:31 +0000 2014,5.4e+17,#AAPL OR @Apple,"5
3",CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK,"['cnbctv', 'apple', 'margins', 'better', 'expected', 'aapl']","['cnbctv', 'appl', 'margin', 'better', 'expect', 'aapl']","['cnbctv', 'apple', 'margin', 'better', 'expected', 'aapl']"
623495521,True,golden,15,,3,0.7997,Mon Dec 01 20:36:47 +0000 2014,5.4e+17,#AAPL OR @Apple,1,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL,"['apple', 'inc', 'flash', 'crash', 'need', 'know', 'aapl']","['appl', 'inc', 'flash', 'crash', 'need', 'know', 'aapl']","['apple', 'inc', 'flash', 'crash', 'need', 'know', 'aapl']"
623495522,False,finalized,3,12/12/2014 0:52,3,0.636,Mon Dec 01 20:45:03 +0000 2014,5.4e+17,#AAPL OR @Apple,,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd,"['aapl', 'presentation', 'shows', 'makes', 'world', 'biggest', 'tech', 'companies']","['aapl', 'present', 'show', 'make', 'world', 'biggest', 'tech', 'compani']","['aapl', 'presentation', 'show', 'make', 'world', 'biggest', 'tech', 'company']"
623495523,True,golden,12,,1,1.0,Mon Dec 01 20:46:01 +0000 2014,5.4e+17,#AAPL OR @Apple,1,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,"['wtf', 'battery', '31', 'one', 'second', 'ago', '29', 'wtf', 'apple']","['wtf', 'batteri', '31', 'one', 'second', 'ago', '29', 'wtf', 'appl']","['wtf', 'battery', '31', 'one', 'second', 'ago', '29', 'wtf', 'apple']"
623495524,True,golden,9,,3,0.6658,Mon Dec 01 20:47:12 +0000 2014,5.4e+17,#AAPL OR @Apple,5,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch,"['apple', 'watch', 'tops', 'search', 'engine', 'list', 'best', 'wearable', 'tech', 'aapl', 'iwatch', 'applewatch']","['appl', 'watch', 'top', 'search', 'engin', 'list', 'best', 'wearabl', 'tech', 'aapl', 'iwatch', 'applewatch']","['apple', 'watch', 'top', 'search', 'engine', 'list', 'best', 'wearable', 'tech', 'aapl', 'iwatch', 'applewatch']"
623495525,True,golden,11,,3,0.8381,Mon Dec 01 21:00:15 +0000 2014,5.4e+17,#AAPL OR @Apple,3,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz","['best', 'designed', 'iphone', 'apps', 'world', 'according', 'apple']","['best', 'design', 'iphon', 'app', 'world', 'accord', 'appl']","['best', 'designed', 'iphone', 'apps', 'world', 'according', 'apple']"
623495526,False,finalized,3,12/12/2014 21:38,5,1.0,Mon Dec 01 21:03:32 +0000 2014,5.4e+17,#AAPL OR @Apple,,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3,"['rt', 'peterpham', 'bought', 'augustsmartlock', 'apple', 'store', 'pretty', 'good', 'logo', 'match', 'wait', 'install']","['rt', 'peterpham', 'bought', 'augustsmartlock', 'appl', 'store', 'pretti', 'good', 'logo', 'match', 'wait', 'instal']","['rt', 'peterpham', 'bought', 'augustsmartlock', 'apple', 'store', 'pretty', 'good', 'logo', 'match', 'wait', 'install']"
623495527,True,golden,17,,1,1.0,Mon Dec 01 21:09:50 +0000 2014,5.4e+17,#AAPL OR @Apple,1,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync,"['apple', 'contact', 'sync', 'yosemite', 'ios8', 'seriously', 'screwed', 'used', 'much', 'stable', 'past', 'icloud', 'isync']","['appl', 'contact', 'sync', 'yosemit', 'ios8', 'serious', 'screw', 'use', 'much', 'stabl', 'past', 'icloud', 'isync']","['apple', 'contact', 'sync', 'yosemite', 'ios8', 'seriously', 'screwed', 'used', 'much', 'stable', 'past', 'icloud', 'isync']"
623495528,False,finalized,6,12/12/2014 15:50,3,0.4798,Mon Dec 01 21:29:45 +0000 2014,5.4e+17,#AAPL OR @Apple,,#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors,"['aapl', 'applenws', 'thanks', 'non', 'factual', 'dumb', 'twitter', 'followers', 'stock', 'drops', '3', 'points', 'one', 'minute', 'thanks', 'dummies', 'rumors']","['aapl', 'applenw', 'thank', 'non', 'factual', 'dumb', 'twitter', 'follow', 'stock', 'drop', '3', 'point', 'one', 'minut', 'thank', 'dummi', 'rumor']","['aapl', 'applenws', 'thanks', 'non', 'factual', 'dumb', 'twitter', 'follower', 'stock', 'drop', '3', 'point', 'one', 'minute', 'thanks', 'dummy', 'rumor']"
623495529,True,golden,16,,1,0.9399,Mon Dec 01 21:35:14 +0000 2014,5.4e+17,#AAPL OR @Apple,1,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK,"['warning', 'buy', 'iphone', '5s', 'unlocked', 'apple', 'iphone', 'use', 'verizon', 'network']","['warn', 'buy', 'iphon', '5s', 'unlock', 'appl', 'iphon', 'use', 'verizon', 'network']","['warning', 'buy', 'iphone', '5', 'unlocked', 'apple', 'iphone', 'use', 'verizon', 'network']"
623495530,False,finalized,3,12/12/2014 3:38,not_relevant,0.6904,Mon Dec 01 21:52:04 +0000 2014,5.4e+17,#AAPL OR @Apple,,"@Apple John Cantlie has been a prisoner of ISIS for 739 days, show you have not abandoned him. Sign https://t.co/WTn4fuiJ0P","['apple', 'john', 'cantlie', 'prisoner', 'isis', '739', 'days', 'show', 'abandoned', 'sign']","['appl', 'john', 'cantli', 'prison', 'isi', '739', 'day', 'show', 'abandon', 'sign']","['apple', 'john', 'cantlie', 'prisoner', 'isi', '739', 'day', 'show', 'abandoned', 'sign']"
623495531,False,finalized,3,12/12/2014 4:59,3,0.6621,Mon Dec 01 21:53:12 +0000 2014,5.4e+17,#AAPL OR @Apple,,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?,"['apple', 'thanks', 'xtra', 'checkin', 'upper', 'westside', 'store', 'appointments', 'running', 'almost', '50', 'minutes', 'late']","['appl', 'thank', 'xtra', 'checkin', 'upper', 'westsid', 'store', 'appoint', 'run', 'almost', '50', 'minut', 'late']","['apple', 'thanks', 'xtra', 'checkin', 'upper', 'westside', 'store', 'appointment', 'running', 'almost', '50', 'minute', 'late']"
623495532,False,finalized,3,12/12/2014 20:59,3,1.0,Mon Dec 01 22:22:09 +0000 2014,5.4e+17,#AAPL OR @Apple,,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3,"['aapl', 'stock', 'mini', 'flash', 'crash', 'today', 'money', 'morning', 'nothing', 'analysts', 'suggested', 'would', 'make', 'widel']","['aapl', 'stock', 'mini', 'flash', 'crash', 'today', 'money', 'morn', 'noth', 'analyst', 'suggest', 'would', 'make', 'widel']","['aapl', 'stock', 'mini', 'flash', 'crash', 'today', 'money', 'morning', 'nothing', 'analyst', 'suggested', 'would', 'make', 'widel']"
623495533,False,finalized,3,12/11/2014 20:31,not_relevant,1.0,Mon Dec 01 23:03:01 +0000 2014,5.4e+17,#AAPL OR @Apple,,$AAPL dip only momentarily....just an aberration in the equity world..#AAPL,"['aapl', 'dip', 'momentarily', 'aberration', 'equity', 'world', 'aapl']","['aapl', 'dip', 'momentarili', 'aberr', 'equiti', 'world', 'aapl']","['aapl', 'dip', 'momentarily', 'aberration', 'equity', 'world', 'aapl']"
623495534,False,finalized,4,12/12/2014 8:36,3,0.7244,Mon Dec 01 23:12:40 +0000 2014,5.4e+17,#AAPL OR @Apple,,The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH,"['jh', 'hines', 'staff', 'newly', 'issued', 'apple', 'connected', 'macbook', 'ipad', 'mini', 'txed']","['jh', 'hine', 'staff', 'newli', 'issu', 'appl', 'connect', 'macbook', 'ipad', 'mini', 'txed']","['jh', 'hines', 'staff', 'newly', 'issued', 'apple', 'connected', 'macbook', 'ipad', 'mini', 'txed']"
623495535,False,finalized,3,12/12/2014 14:08,3,0.6552,Mon Dec 01 23:43:14 +0000 2014,5.4e+17,#AAPL OR @Apple,,@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles,"['robconeybeer', 'need', 'ip', 'portfolio', 'defend', 'big', 'companies', 'look', 'samsung', 'apple', 'court', 'battles']","['robconeyb', 'need', 'ip', 'portfolio', 'defend', 'big', 'compani', 'look', 'samsung', 'appl', 'court', 'battl']","['robconeybeer', 'need', 'ip', 'portfolio', 'defend', 'big', 'company', 'look', 'samsung', 'apple', 'court', 'battle']"
623495536,True,golden,13,,1,1.0,Mon Dec 01 23:55:55 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc","['apple', 'love', 'gawd', 'center', '1', 'damn', 'calendar', 'app', 'fixed', 'back', 'center']","['appl', 'love', 'gawd', 'center', '1', 'damn', 'calendar', 'app', 'fix', 'back', 'center']","['apple', 'love', 'gawd', 'center', '1', 'damn', 'calendar', 'app', 'fixed', 'back', 'center']"
623495537,True,golden,9,,1,0.8928,Tue Dec 02 00:06:05 +0000 2014,5.4e+17,#AAPL OR @Apple,1,i get the storage almost full notification literally every 5 minutes chill @apple,"['get', 'storage', 'almost', 'full', 'notification', 'literally', 'every', '5', 'minutes', 'chill', 'apple']","['get', 'storag', 'almost', 'full', 'notif', 'liter', 'everi', '5', 'minut', 'chill', 'appl']","['get', 'storage', 'almost', 'full', 'notification', 'literally', 'every', '5', 'minute', 'chill', 'apple']"
623495538,True,golden,13,,1,0.8558,Tue Dec 02 00:14:25 +0000 2014,5.4e+17,#AAPL OR @Apple,1,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n,"['made', 'switch', 'iphone', '6', 'galaxy', 'note', 'edge', 'apple', 'keep']","['made', 'switch', 'iphon', '6', 'galaxi', 'note', 'edg', 'appl', 'keep']","['made', 'switch', 'iphone', '6', 'galaxy', 'note', 'edge', 'apple', 'keep']"
623495539,True,golden,14,,1,0.8701,Tue Dec 02 00:15:11 +0000 2014,5.4e+17,#AAPL OR @Apple,1,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle,"['rt', '101baemations', 'stand', 'ppl', 'apple', 'stickers', 'everywhere', '9', '10', 'prob', 'bought', 'ipod', 'shuffle']","['rt', '101baemat', 'stand', 'ppl', 'appl', 'sticker', 'everywher', '9', '10', 'prob', 'bought', 'ipod', 'shuffl']","['rt', '101baemations', 'stand', 'ppl', 'apple', 'sticker', 'everywhere', '9', '10', 'prob', 'bought', 'ipod', 'shuffle']"
623495540,False,finalized,4,12/12/2014 8:36,3,0.7244,Tue Dec 02 00:15:14 +0000 2014,5.4e+17,#AAPL OR @Apple,,Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,"['justice', 'department', 'cites', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']","['justic', 'depart', 'cite', '18th', 'centuri', 'feder', 'law', 'get', 'appl', 'unlock', 'iphon']","['justice', 'department', 'cite', '18th', 'century', 'federal', 'law', 'get', 'apple', 'unlock', 'iphones']"
