_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,sentiment,sentiment:confidence,date,id,query,sentiment_gold,text
623495513,TRUE,golden,10,,3,0.6264,Mon Dec 01 19:30:03 +0000 2014,5.40E+17,#AAPL OR @Apple,"3
not_relevant",aapl the 10 best steve jobs emails ever
623495514,TRUE,golden,12,,3,0.8129,Mon Dec 01 19:43:51 +0000 2014,5.40E+17,#AAPL OR @Apple,"3
1",rt jpdesloges why aapl stock had a mini flash crash today aapl aapl
623495515,TRUE,golden,10,,3,1,Mon Dec 01 19:50:28 +0000 2014,5.40E+17,#AAPL OR @Apple,3,my cat only chews apple cords such an applesnob
623495516,TRUE,golden,17,,3,0.5848,Mon Dec 01 20:26:34 +0000 2014,5.40E+17,#AAPL OR @Apple,"3
1",i agree with jimcramer that the individualinvestor should own not trade apple aapl it s extended so today s pullback is good to see
623495517,FALSE,finalized,3,12/12/2014 12:14,3,0.6474,Mon Dec 01 20:29:33 +0000 2014,5.40E+17,#AAPL OR @Apple,,nobody expects the spanish inquisition aapl
623495518,TRUE,golden,13,,3,0.5975,Mon Dec 01 20:30:03 +0000 2014,5.40E+17,#AAPL OR @Apple,5,aapl 5 rocket stocks to buy for december gains apple and more
623495519,TRUE,golden,13,,5,0.8468,Mon Dec 01 20:32:45 +0000 2014,5.40E+17,#AAPL OR @Apple,5,top 3 all apple tablets damn right
623495520,TRUE,golden,9,,5,0.6736,Mon Dec 01 20:34:31 +0000 2014,5.40E+17,#AAPL OR @Apple,"5
3",cnbctv apple s margins better than expected aapl
623495521,TRUE,golden,15,,3,0.7997,Mon Dec 01 20:36:47 +0000 2014,5.40E+17,#AAPL OR @Apple,1,apple inc flash crash what you need to know aapl
623495522,FALSE,finalized,3,12/12/2014 0:52,3,0.636,Mon Dec 01 20:45:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,aapl this presentation shows what makes the world s biggest tech companies
623495523,TRUE,golden,12,,1,1,Mon Dec 01 20:46:01 +0000 2014,5.40E+17,#AAPL OR @Apple,1,wtf my battery was 31 one second ago and now is 29 wtf is this apple
623495524,TRUE,golden,9,,3,0.6658,Mon Dec 01 20:47:12 +0000 2014,5.40E+17,#AAPL OR @Apple,5,apple watch tops search engine list of best wearable tech aapl iwatch applewatch
623495525,TRUE,golden,11,,3,0.8381,Mon Dec 01 21:00:15 +0000 2014,5.40E+17,#AAPL OR @Apple,3,the best designed iphone apps in the world according to apple
623495526,FALSE,finalized,3,12/12/2014 21:38,5,1,Mon Dec 01 21:03:32 +0000 2014,5.40E+17,#AAPL OR @Apple,,rt peterpham bought my augustsmartlock at the apple store pretty good logo match can t wait to install it
623495527,TRUE,golden,17,,1,1,Mon Dec 01 21:09:50 +0000 2014,5.40E+17,#AAPL OR @Apple,1,apple contact sync between yosemite and ios8 is seriously screwed up it used to be much more stable in the past icloud isync
623495528,FALSE,finalized,6,12/12/2014 15:50,3,0.4798,Mon Dec 01 21:29:45 +0000 2014,5.40E+17,#AAPL OR @Apple,,aapl applenws thanks to the non factual dumb twitter followers stock drops 3 points in one minute thanks dummies rumors
